county_code,day_of_week,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,total_home_dwell_time,total_non_home_dwell_time
1031,1,4406,0.1768043577,0.1804267161,0.1273191095,0.03495233772,687.9732122,319.5542442
1031,2,4401,0.1538286753,0.1977361977,0.1242781243,0.02808988764,703.6677644,329.8417441
1031,3,4369,0.1579068695,0.1972991531,0.1265735866,0.03570611124,692.8093385,329.9349192
1031,4,4432,0.1511912714,0.1903807615,0.1182364729,0.04805956679,648.6275911,335.2991877
1031,5,4588,0.2314734089,0.09215017065,0.02848678213,0.03099361896,797.5870556,127.0669433
1031,6,4480,0.257918552,0.09413546851,0.0251027916,0.02575200173,849.6158837,124.6191964
1033,0,4950,0.1697758001,0.1815550839,0.1113254872,0.04080808081,709.6231176,292.6667953
1033,1,4922,0.173394313,0.1944675541,0.1232849473,0.04145728643,688.5644428,325.6999403
1033,2,5008,0.1555511182,0.2012779553,0.1097586136,0.03092406221,695.2892865,334.178212
1033,3,4857,0.1593688363,0.2015647519,0.1202388306,0.04014823965,684.9266982,344.133057
1033,4,4963,0.1561733442,0.1844967372,0.1053798106,0.05480556115,643.755804,330.5448318
1033,5,5130,0.2079510703,0.09037487335,0.03058103976,0.02895005097,790.6767984,153.2381771
1033,6,5021,0.2433374334,0.0993669672,0.0287742183,0.02861657303,867.5750308,150.6910619
1035,0,688,0.221680877,0.1266747868,0.09853528628,0.03363914373,593.9838946,229.391478
1035,1,684,0.1964809384,0.1593567251,0.1132637854,0.03216374269,544.7076023,280.9225037
1035,2,682,0.1896551724,0.1504702194,0.1069587629,0.02351097179,569.6891496,295.3357771
1035,3,671,0.1818181818,0.1491477273,0.1131221719,0.02235469449,548.7528409,281.7928465
1035,4,721,0.1902017291,0.1345353675,0.1040221914,0.03462603878,502.6019417,296.1239193
1035,5,717,0.2273361227,0.07544378698,0.02231520223,0.023977433,622.6656805,120.6317992
1035,6,714,0.2888888889,0.0954248366,0.03125,0.0339869281,644.9615385,125.0854342
1037,0,780,0.1876606684,0.1452442159,0.09254807692,0.03745743473,691.0649007,243.3653846
1037,1,771,0.1720990874,0.1556420233,0.1232166018,0.04172099087,651.3065693,287.5629053
1037,2,786,0.1513994911,0.1646746348,0.1208499336,0.03606102635,660.7450495,312.3652058
1037,3,773,0.1668946648,0.1697645601,0.1164294955,0.03234152652,668.4276139,287.5428954
1037,4,790,0.1724137931,0.168956044,0.09752747253,0.04630788486,606.7822785,319.6232791
1037,5,812,0.2135802469,0.08251231527,0.02093596059,0.02685421995,740.1074169,126.7647059
1037,6,809,0.2473958333,0.1080760095,0.03044496487,0.03645833333,793.3360656,134.2248244
1039,0,3557,0.1830193984,0.1793492874,0.09071377417,0.0466937355,712.0224909,270.7989974
1039,1,3526,0.1699346405,0.2006831768,0.1312849162,0.04810703103,674.6716943,327.9722065
1039,2,3578,0.1575418994,0.2002515723,0.1275471698,0.03270440252,687.5913918,337.6725426
1039,3,3522,0.1674113792,0.1985693848,0.1138557638,0.03492333901,673.7799546,335.2595116
1039,4,3570,0.1562413122,0.1893667861,0.09617682198,0.05167264038,632.2992081,323.4462366
1039,5,3649,0.1996150674,0.1037479631,0.02754662841,0.02548643464,775.8643464,155.4943635
1039,6,3623,0.2502783964,0.08982511924,0.03020667727,0.02517223105,843.383936,148.2627657
1041,0,1282,0.1748158071,0.1902210315,0.1044876088,0.03042121685,693.790625,286.0783657
1041,1,1273,0.1633145615,0.2132520944,0.1448109413,0.03781174578,653.6179039,329.1073877
1041,2,1257,0.1614956245,0.2124105012,0.1400159109,0.02779757662,658.9962659,341.6141607
1041,3,1285,0.1692183723,0.1998530492,0.1293166789,0.035455278,639.9500403,343.0475423
1041,4,1289,0.1632341724,0.2196796339,0.1029748284,0.03890160183,583.3584603,329.7259259
1041,5,1342,0.2146050671,0.1028315946,0.02034428795,0.01877934272,731.1260904,158.4495968
1041,6,1318,0.2547723935,0.09544787078,0.02716593245,0.01835535977,832.4616553,133.0519059
1043,0,7954,0.1712764847,0.1781493588,0.117299472,0.03839838323,713.266784,293.0169961
