NAME,S2405_C01_001E,S2405_C01_001M,S2405_C01_002E,S2405_C01_002M,S2405_C01_003E,S2405_C01_003M,S2405_C01_004E,S2405_C01_004M,S2405_C01_005E,S2405_C01_005M,S2405_C01_006E,S2405_C01_006M,S2405_C01_007E,S2405_C01_007M,S2405_C01_008E,S2405_C01_008M,S2405_C01_009E,S2405_C01_009M,S2405_C01_010E,S2405_C01_010M,S2405_C01_011E,S2405_C01_011M,S2405_C01_012E,S2405_C01_012M,S2405_C01_013E,S2405_C01_013M,S2405_C01_014E,S2405_C01_014M
"Ellis County, Kansas",16239,0.026417882874561243,0.058008498060225386,0.012316029312149764,0.06096434509514132,0.013670792536486237,0.06903134429459942,0.01557977707986945,0.029188989469794938,0.010037563889402057,0.10714945501570294,0.020259868218486358,0.03528542397930907,0.008929121251308578,0.029496890202598682,0.01040704476876655,0.0471703922655336,0.011761807993103024,0.0621959480263563,0.014409754295215222,0.28782560502494,0.02955847034915943,0.12543875854424533,0.029866371081963175,0.038672332040150255,0.009975983742841308,0.0495720179814028,0.010653365355009546
"Ellsworth County, Kansas",2678,0.061613144137415976,0.09335324869305453,0.02389843166542196,0.07244212098581031,0.01717699775952203,0.0847647498132935,0.02427184466019417,0.02725914861837192,0.010828976848394324,0.07991038088125467,0.021657953696788648,0.061613144137415976,0.018297236743838687,0.022031366691560868,0.010082150858849887,0.043689320388349516,0.014563106796116504,0.045556385362210614,0.014189693801344288,0.27520537714712473,0.037341299477221805,0.07244212098581031,0.022031366691560868,0.043689320388349516,0.01755041075429425,0.07804331590739358,0.024645257654966397
"Finney County, Kansas",18631,0.023455531104073852,0.0752509258762278,0.012130320433685792,0.07240620471257582,0.012398690354785035,0.19043529601202294,0.01739037088723096,0.03601524341151844,0.008587837475175782,0.11754602544146853,0.014814019644678225,0.06473082496913746,0.010949492780849123,0.012291342386345338,0.004454940690247437,0.01728302291879126,0.005367398421984864,0.05292254844077076,0.014491975739359132,0.19591004240244755,0.018034458697869144,0.09087005528420376,0.014062583865600343,0.036927701143255866,0.008051097632977296,0.0374107670012345,0.007997423648757447
"Ford County, Kansas",16646,0.029676799231046495,0.06566142016099964,0.017541751772197526,0.05797188513757059,0.012675717890183829,0.2849933918058392,0.03268052384957347,0.03586447194521206,0.01123393007329088,0.08674756698305901,0.016520485401898353,0.057671512675717886,0.011594377027514115,0.019764507989907486,0.007269013576835277,0.032380151387720775,0.008470503424246064,0.045476390724498376,0.01153430253514358,0.16322239577075573,0.01922383755857263,0.07527333894028597,0.01916376306620209,0.04926108374384237,0.014357803676558931,0.02571188273459089,0.009611918779286315
"Franklin County, Kansas",12787,0.02580746070227575,0.030577930710878238,0.008367873621646984,0.08336591851098772,0.0165793383905529,0.1083131305231876,0.019707515445374208,0.042777821224681316,0.011496050676468288,0.14639868616563698,0.019238288887151008,0.08172362555720654,0.01611011183232971,0.013294752482990536,0.005552514272307811,0.03589583170407445,0.00969734886994604,0.08133260342535388,0.016031907405959174,0.23656838977086106,0.02127160397278486,0.06131227027449754,0.016031907405959174,0.04473293188394463,0.010714006412762964,0.03370610776569954,0.009775553296316571
"Geary County, Kansas",11798,0.04729615189015087,0.01322258009832175,0.006187489404983895,0.04610951008645533,0.015341583319206644,0.07374131208679438,0.020850991693507376,0.028225122902186813,0.012205458552297,0.10603492117308018,0.018562468214951687,0.04746567214782167,0.012714019325309377,0.007035090693337854,0.0053398881166299384,0.05119511781657908,0.01279877945414477,0.09908459060857773,0.020850991693507376,0.2540261061196813,0.02661468045431429,0.0711137480928971,0.01652822512290219,0.04577046957111375,0.015002542803865062,0.15697575860315308,0.029920325478894724
"Gove County, Kansas",1290,0.06434108527131784,0.1883720930232558,0.034883720930232565,0.06744186046511629,0.021705426356589147,0.07906976744186046,0.028682170542635662,0.04418604651162791,0.017829457364341085,0.07674418604651162,0.02093023255813953,0.03643410852713178,0.014728682170542637,0.007751937984496123,0.007751937984496123,0.05193798449612403,0.017054263565891473,0.05193798449612403,0.01627906976744186,0.2488372093023256,0.03255813953488372,0.06124031007751937,0.029457364341085267,0.0565891472868217,0.018604651162790697,0.029457364341085267,0.010852713178294572
"Graham County, Kansas",1149,0.07136640557006092,0.154917319408181,0.04873803307223673,0.10530896431679722,0.032201914708442116,0.04786771105308965,0.01827676240208877,0.02959094865100087,0.017406440382941687,0.09399477806788513,0.03568320278503046,0.0226283724978242,0.012184508268059184,0.02175805047867711,0.01392515230635335,0.05831157528285465,0.020887728459530026,0.023498694516971282,0.013054830287206266,0.2950391644908616,0.050478677110530897,0.06092254134029591,0.024369016536118362,0.02175805047867711,0.019147084421235857,0.06440382941688425,0.02610966057441253
"Grant County, Kansas",3611,0.08280254777070062,0.22514538908889506,0.05594018277485461,0.058986430351703124,0.03378565494322902,0.06950983107172529,0.03544724453060094,0.05594018277485461,0.030739407366380506,0.06064801993907505,0.029077817779008582,0.09221822209914153,0.044585987261146494,0.045970645250623096,0.024923843810578786,0.030185544170589863,0.02104680144004431,0.0390473553032401,0.02076986984214899,0.16283577956244807,0.043478260869565216,0.04873996122957629,0.02603157020216007,0.0473553032400997,0.026308501800055388,0.06341733591802824,0.031016338964275823
"Gray County, Kansas",3166,0.03063802905874921,0.20025268477574226,0.027163613392293114,0.07801642451042325,0.018003790271636132,0.05211623499684144,0.018951358180669616,0.043903979785217935,0.014529374605180037,0.10960202147820594,0.023689197725837014,0.0903348073278585,0.02242577384712571,0.012318382817435249,0.007580543272267845,0.02779532533164877,0.010739102969046116,0.047378395451674035,0.013897662665824385,0.21794061907770054,0.029374605180037906,0.04548325963360708,0.014845230574857862,0.043903979785217935,0.013581806696146555,0.03095388502842704,0.011370814908401769
